id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,Review Count,Average Rating
2969,Camping Parc Nature Gaspe,5.0,Excellent,"['Restaurant', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)']",198 Gaspe Quebec,Canada,3.0,5.0
2135,Twisted Timber Guesthouse,4.0296,,[],9 Alpine Trail Cres Fernie British Columbia,Canada,3.0,5.0
3880,Ocean Breeze Bed & Breakfast,3.0,,[],359 Shore Rd ,Canada,5.0,5.0
3869,Hillside Landing B&B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",152 Queen Street Digby Nova Scotia,Canada,5.0,5.0
3852,Huckleberry Cottage,3.5,,[],445 7th Ave E ,Canada,2.0,5.0
4753,Logging Chain Lodge,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Multilingual Staff', 'Non-smoking hotel', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",2840 Highway 60 Dwight Ontario,Canada,2.0,5.0
3846,JavaLodge,4.5,,[],516 3rd Ave W ,Canada,5.0,5.0
3845,Eagle Close Executive Bed &Breakfast,4.0,,[],198 Eagle Close ,Canada,4.0,5.0
5352,Timberlane Lodge,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",4 Timberlane Road Ear Falls Ontario,Canada,5.0,5.0
5354,Dans les Draps de Morphee,4.0296,,[],7 Ritchie St Campbellton New Brunswick,Canada,5.0,5.0
5368,Village historique de Val-Jalbert - Hebergement et Camping,4.0296,,[],9 Chambord Quebec,Canada,2.0,5.0
