id,attraction_name,attraction_rating,attraction_experience,amenities,address,country,discover_link,image_link,description
0,vancouver  city  sightseeing  tour,4.5,Excellent,featured  tours  and  tickets,vancouver,canada, , , 
1,vancouver  to  victoria  and  butchart  gardens  tour  by  bus,5,Excellent,featured  tours  and  tickets,vancouver,canada, , , 
2,quebec  city  and  montmorency  falls  day  trip  from  montreal,4.5,Excellent,featured  tours  and  tickets,montreal,canada, , , 
3,niagara  falls  day  trip  from  toronto,5,Excellent,featured  tours  and  tickets,toronto,canada, , , 
4,"best  of  niagara  falls  tour  from  niagara  falls,  ontario",5,Excellent,featured  tours  and  tickets,niagara  falls,canada, , , 
5,niagara  falls  in  one  day:  deluxe  sightseeing  tour  of  american  and  canadian  sides,5,Excellent,featured  tours  and  tickets,niagara  falls,canada, , , 
6,whistler  small-group  day  trip  from  vancouver,5,Excellent,featured  tours  and  tickets,vancouver,canada, , , 
7,ultimate  niagara  falls  tour  plus  helicopter  ride  and  skylon  tower  lunch,5,Excellent,featured  tours  and  tickets,niagara  falls,canada, , , 
9,private  tour:  vancouver  to  victoria  island,5,Excellent,local  experiences,vancouver,canada, , , 
10,"private  custom-made  niagara  falls  wine,  beer,  and  spirits  tour",5,Excellent,local  experiences,niagara  falls,canada, , , 
11,vancouver  seaplane  tour,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
12,niagara  falls  grand  helicopter  tour,5,Excellent,"air,  helicopter  &  balloon  tours",niagara  falls,canada, , , 
13,whistler  helicopter  tour,5,Excellent,"air,  helicopter  &  balloon  tours",whistler,canada, , , 
14,niagara  falls  helicopter  tour,4.5,Excellent,"air,  helicopter  &  balloon  tours",niagara  falls,canada, , , 
15,7-minute  helicopter  tour  over  toronto,4.5,Excellent,"air,  helicopter  &  balloon  tours",toronto,canada, , , 
16,seaplane  flight  to  victoria  and  whale-watching  cruise,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
17,ultimate  niagara  falls  tour  plus  helicopter  ride  and  skylon  tower  lunch,5,Excellent,"air,  helicopter  &  balloon  tours",niagara  falls,canada, , , 
18,niagara  falls  airplane  tour,5,Excellent,"air,  helicopter  &  balloon  tours",niagara  falls,canada, , , 
19,airliner  adventures  package,5,Excellent,"air,  helicopter  &  balloon  tours",toronto,canada, , , 
20,yukon-northern  lights  4-days  adventure  in  whitehorse,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver  island,canada, , , 
22,vancouver  to  seattle  seaplane  flight,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
23,14-minute  helicopter  tour  over  toronto,5,Excellent,"air,  helicopter  &  balloon  tours",toronto,canada, , , 
24,victoria  and  butchart  gardens  by  helicopter  and  speed  boat,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
25,mount  mamquam  and  alpine  lakes  seaplane  tour  from  vancouver,4.5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
26,helicopter  tour  over  montreal,5,Excellent,"air,  helicopter  &  balloon  tours",montreal,canada, , , 
27,squamish  explorer  flightseeing  tour,5,Excellent,"air,  helicopter  &  balloon  tours",squamish,canada, , , 
28,victoria  excursion  from  vancouver  by  helicopter  and  sea  plane,5,Excellent,"air,  helicopter  &  balloon  tours",vancouver,canada, , , 
29,"niagara  winter  wonderland  tour  -  air  tour,  winery  tour,  chocolate  factory  tour",5,Excellent,"air,  helicopter  &  balloon  tours",niagara  falls,canada, , , 
30,thousand  islands  two  castle  helicopter  tour,5,Excellent,"air,  helicopter  &  balloon  tours",gananoque,canada, , , 
31,helicopter  tour  over  mont-tremblant,5,Excellent,"air,  helicopter  &  balloon  tours",mont  tremblant,canada, , , 
