id,user_name,user_rating,user_review
1,atomdmrn,5,"Stopped in out of the rain w/ my wife - ordered a Killer B & Marge w/ Coke’s; both pizzas were great but the Killer B was unexpectedly delicious!

staff was friendly, ordering was convenient and facility was clean that we saw. would definitely recommend..."
1,605hayleec,1,the building looked like poo and smelled like it and the food was GROSS it has a hair in a like a big ball of hair and it smelled like throw up i hated it and i dont recommend it to anyone ITS GROSSSSSS
1,kathysJ5521VG,4,"Yummy pizza! Friendly staff and fellow patrons. No individual slices here, bring a friend to share a pizza pie."
1,Michaelkasperski,5,"We stopped for lunch, we will return. Baked pear and kale salad, followed by pizza. What a delight. We can't wait to return, next time we will have the Killer Bee pizza. Definitely worth a visit."
1,395sherrym,5,"After walking the busy streets around Times Square, this place was an oasis. Quaint little restaurant that serves up some of the best pizza I’ve tasted. The ambiance was quiet and the service excellent. We had the kale salad and the Killer Bee. The perfect..."
1,NinaS5297,4,"Really good and nice pizza with „other kind of Toppings“ like meatballs!
The pizza would be also accepted in Italy! Means the pizza was nice!
The service was ok but not more!
A good recommendation if you have a pizza need european/italien style!"
1,lukec468,5,Great pizza - really great - lovely atmosphere - cool decor - friendly staff - quick service. Loved it
1,fuzzy09,5,"We loved our visit. The Killer Bee Pizza is great and so is Marge. We also enjoyed the eggplant Parmesan. If anything could be better it would be the seating arrangement. In any case, we will certainly be back."
1,853jimmyk,5,"Walking from 7th to 9th down 51 street the area looked more and more of the grid , finding a little restaurant, written so highly about on TripAdvisor? I really had a difficulty understanding what could be so good. But very nice waitress seating us..."
1,KerrieLS,5,Amazing barata and pizza. We thoroughly enjoyed stumbling on this pizzeria. The tiramisu was pretty hard to fault too
1,adriansandu1990,4,"Visited in January for lunch. Nice location, good choice of pizzas. The pizza i ordered was somewhat oily and it felt heavy but i am sure it’s not usually the case judging by the number of positive reviews. One other thing, it would be useful..."
1,BecLaird,5,"We had arrived on a long haul flight and wanted something close and easy. We walked down 9th and there was a queue outside B side. Wow was the pizza worth the half hour wait. The two pizzas were fantastic! Perfect bases, toppings were out..."
1,steven_n_au,5,B Side has a great menu with really different options for pizzas and sides. Quality is excellent and a great variety of wine and drinks.
1,RonORon63,5,"Unbelievably great, in a town of good pies. The imaginative menu provides a new world of pizza toppings. They also have small plates that look great and I cannot wait to try next time. There will be a next time. Quality ingredients. Great service."
1,somebodysmother,5,Staying in Manhattan and wanted pizza for dinner.  Chose B Side Pizzeria and so glad we did.  Went early on a Sunday night and was able to be seated without a wait at one of the two vacant tables.  It was quite busy (it’s a...
1,RicciF1020,4,We had come to this area to go to a different restaurant that turned out to be closed so we found this pizzeria right down the street. Had the Killer Bee and the Marge. Both were very good but not so much that we want...
1,123Tesha123,4,"Tasty, fresh, prompt service. Would like a few more selections of pizza, but overall great experience."
1,Stacey E,5,"Delicious pizza, salad and friendly staff!  We were starving and food came out quickly.  Service was good."
1,Caryn325,5,"This is by far one of the best gourmet pizzas I have eaten! My husband and I enjoyed the Carbonara pizza. We also had the avocado appetizer, but I do not feel I can give an honest opinion as I overlooked the fact it had..."
1,Scottdirect,4,"Tiny storefront had us waiting on the chilly street for a while before we were even able to give our names to a host (they don’t take reservations).  Once inside we were packed tight along with other diners in the warm, charming, tiny pizzeria.  The..."
2,yonatanbenavi,1,"Food is great but I don’t understand why they can accept only 4 credit cards per table. Me and my 11 group of friends needed to start looking for an atm to pay for the food at 11 pm.
Not the best experience…"
2,KevinS625,5,"We had the opportunity to dine at Benjamin Prime again last week and as usual the experience was fantastic. In our opinion, this is the best steakhouse in NYC if not the entire country. The food is always spectacular, the decor is on point, and..."
2,lizziebm,4,"The service was excellentThe steaks also,The fries at $13.00 should be enough for a table of 4,the rolls were old and microwaved as last visit,the bread is much better at the Cheesecake Factory,The Sundae should be hot fudge and the Schlog was watery.No excuse for..."
2,micaraab,5,"What an amazing meal!
Great for meat lovers, one of the best meals in the city. Great service as well."
2,Meeka23,5,"Visited the other day to show my guys some love an as always good & wine was remarkable. Had a bottle of Stewart Cabernet & they famous lobster Mac&Cheese an it was good to the last drop. Sean,Ben & Johnny all came over to chat..."
2,DavidL8741,5,"I love steak, great wine, amazing sides, the best service, great cocktails - and Benjamin’s has it absolutely all to perfection. I love this place, but the key is their steaks, just amazing,"
2,JaneCumbria,5,Contacted restaurant by email to organise a Xmas  Meal delivery  for our daughter who due to pandemic could not return home to UK and was alone in NYC for Xmas.  Customer service was excellent with prompt email response advising how to place order.   All was...
2,BethSJorgeV,5,"Ben Prime is one of our most favorite restaurants and tonight we decided to try their outdoor dining. WONDERFUL! COMFORTABLE! ATTRACTIVE! SPACED PERFECTLY ! AND OF COURSE THE FOOD ALWAYS TOP NOTCH!  Sean, John special shout outs for making us feel comfortable and special .A..."
